volcano_number,volcano_name,primary_volcano_type,last_eruption_year,country,region,subregion,latitude,longitude,elevation,tectonic_settings,evidence_category,population_within_5_km,population_within_10_km,population_within_30_km,population_within_100_km,eruption_count,country-code
231070,"Rahat, Harrat",Volcanic field,1256,Saudi Arabia,Middle East and Indian Ocean,Middle East (southern),23.08,39.78,1744,Intraplate / Continental crust (>25 km),Eruption Observed,1010115,1010115,1010115,138380,2,682
321030,Rainier,Stratovolcano,1450,United States,Canada and Western USA,USA (Washington),46.853,-121.76,4392,Subduction zone / Continental crust (>25 km),Eruption Dated,0,128,3187,2667609,9,840
264071,Ranakah,Lave dome,1991,Indonesia,Indonesia,Lesser Sunda Islands,-8.62,120.52,2350,Subduction zone / Continental crust (>25 km),Eruption Observed,1283,63314,291790,860496,2,360
261251,Ranau,Caldera,Unknown,Indonesia,Indonesia,Sumatra,-4.871,103.925,1854,Subduction zone / Continental crust (>25 km),Evidence Uncertain,12275,12275,21279,939197,2,360
242030,Raoul Island,Stratovolcano,2006,New Zealand,New Zealand to Fiji,Kermadec Islands,-29.27,-177.92,516,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,0,0,0,0,10,554
290220,Rasshua,Stratovolcano,1957,Russia,Kuril Islands,Kuril Islands,47.77,153.02,956,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,0,9,9,200,2,643
263340,Raung,Stratovolcano,2015,Indonesia,Indonesia,Java,-8.119,114.056,3260,Subduction zone / Continental crust (>25 km),Eruption Observed,152,572,581515,8123987,69,360
290020,Raususan [Mendeleev],Stratovolcano,1880,Japan - administered by Russia,Kuril Islands,Kuril Islands,43.979,145.733,882,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,236,1783,3527,114486,2,0
311280,Recheschnoi,Stratovolcano,Unknown,United States,Alaska,Aleutian Islands,53.157,-168.539,1984,Subduction zone / Intermediate crust (15-25 km),Evidence Credible,0,0,0,17,0,840
358063,Reclus,Pyroclastic cone,1908,Chile,South America,Southern Chile and Argentina,-50.964,-73.585,1000,Subduction zone / Continental crust (>25 km),Eruption Observed,0,1,420,12382,3,152
327812,Red Hill,Volcanic field,-9450,United States,Canada and Western USA,USA (New Mexico),34.25,-108.83,2300,Rift zone / Continental crust (>25 km),Eruption Dated,0,0,0,0,0,840
241060,Reporoa,Caldera,1180,New Zealand,New Zealand to Fiji,New Zealand,-38.42,176.33,592,Subduction zone / Continental crust (>25 km),Eruption Dated,2920,2920,11513,363602,1,554
352010,Reventador,Stratovolcano,2020,Ecuador,South America,Ecuador,-0.077,-77.656,3562,Subduction zone / Continental crust (>25 km),Eruption Observed,484,963,4403,2619647,26,218
